"gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","PaperlessBilling","MonthlyCharges","TotalCharges","Churn","MultipleLinesNo phone service","MultipleLinesYes","InternetServiceFiber optic","InternetServiceNo","OnlineSecurityNo internet service","OnlineSecurityYes","OnlineBackupNo internet service","OnlineBackupYes","DeviceProtectionNo internet service","DeviceProtectionYes","TechSupportNo internet service","TechSupportYes","StreamingTVNo internet service","StreamingTVYes","StreamingMoviesNo internet service","StreamingMoviesYes","ContractOne year","ContractTwo year","PaymentMethodCredit card (automatic)","PaymentMethodElectronic check","PaymentMethodMailed check"
0,0,1,1,72,1,1,76.8,5468.45,"No",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,1,1,1,11,1,1,75.2,775.3,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,1,25.3,25.3,"Yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,56,1,1,76.85,4275.75,"No",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,55,1,1,98.8,5617.75,"Yes",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,1,0,0,7,1,1,84.8,546.95,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,53,1,0,24.6,1279,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,0,4,1,0,20.15,91.4,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,0,1,1,69,1,1,64.15,4254.1,"No",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
1,0,0,0,38,1,0,95,3605.6,"No",0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,0,0,1,2,1,0,51.55,106.2,"No",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,1,1,82.3,82.3,"Yes",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,22,1,0,85.35,1961.6,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,4,1,0,19.7,117.8,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,0,6,1,1,55.7,335.65,"No",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,9,1,0,55.35,449.75,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,3,1,0,91.85,257.05,"Yes",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,1,1,1,20.15,20.15,"Yes",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,0,4,1,1,61.3,249.4,"No",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,18,1,1,74.7,1294.6,"No",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,56,1,1,85.6,4902.8,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,19.2,19.2,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,1,72,1,0,111.95,8033.1,"No",0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,0,37,1,1,55.05,2030.75,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,13,1,1,100.8,1308.1,"Yes",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,24,1,0,24.7,571.75,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,1,1,7,1,0,20.65,158.95,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,1,1,1,75.1,75.1,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,25,1,0,60.35,1404.65,"No",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,0,29,1,1,98.5,3004.15,"Yes",0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,12,1,0,19.7,220.35,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,30,1,1,107.5,3242.5,"No",0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,72,1,1,20.1,1326.25,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,1,1,0,69,0,1,29.8,2134.3,"No",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,5,1,0,47.15,223.15,"Yes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,38,1,0,19.6,763.1,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,1,0,9,0,0,24.1,259.8,"Yes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,51,1,1,81.15,4126.2,"No",0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,1,0,0,2,1,0,81.5,162.55,"No",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,1,2,1,1,94.2,193.8,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,32,1,0,20.55,654.55,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,57,1,1,74.35,4317.35,"No",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
1,0,1,0,29,1,1,85.8,2440.25,"No",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,33,1,0,19.8,641.35,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,0,0,27,1,1,19.4,460.25,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,0,0,11,1,1,69.35,712.25,"No",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,1,11,1,0,20.1,221.35,"Yes",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,1,0,14,1,1,82.65,1185,"No",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,19,0,1,39.65,733.35,"Yes",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,26,1,1,20.65,595.5,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,0,5,1,0,59.9,287.85,"No",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,68,1,0,118.6,7990.05,"No",0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,1,0,3,0,0,29.8,94.4,"No",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,61,1,1,82.15,4904.85,"No",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,51,1,0,80,4242.35,"Yes",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,1,1,1,45.7,45.7,"Yes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,0,70,1,1,75.65,5411.4,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,0,0,1,49,1,0,75.2,3678.3,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,41,1,1,73,3001.2,"Yes",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,3,1,0,90.4,268.45,"No",0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,40,1,0,19.1,780.1,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,1,1,69,1,1,26,1796.55,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,1,1,45,1,0,78.75,3600.65,"No",0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0
0,0,1,0,55,1,1,103.65,5676.65,"No",0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
1,1,1,0,33,1,1,100.6,3270.25,"No",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,6,1,0,18.95,110.15,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,1,0,0,5,1,1,84.7,392.5,"No",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,0,0,32,1,1,81.1,2619.25,"No",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,43,1,1,84.25,3539.25,"No",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,0,1,0,18,1,0,20.1,370.5,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,0,1,27,1,0,20.05,552.9,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,0,0,28,1,1,105.7,2979.5,"Yes",0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,6,1,1,80.5,463.05,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,1,1,64,1,0,90.25,5629.15,"No",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
0,1,1,0,61,1,1,94.2,5895.45,"No",0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,11,0,1,35.8,363.15,"No",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,7,1,1,70.75,450.8,"Yes",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0,0,0,1,1,1,0,78.65,78.65,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,67,0,1,59.55,4103.9,"No",1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,1,1,63,1,0,75.55,4707.85,"No",0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
0,0,0,0,1,1,0,19.65,19.65,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,1,0,52,0,1,39.9,2020.9,"No",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,14,1,1,24.8,321.7,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,0,1,0,33,1,1,53.75,1857.3,"No",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0,1,0,0,7,1,1,51.3,419.35,"No",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,3,1,0,20.2,65.95,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,0,1,0,55,1,1,94.75,5276.1,"No",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
0,0,0,1,49,1,0,20.45,1024.65,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,1,48,1,0,19.95,936.7,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,1,0,61,1,0,93.7,5860.7,"No",0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,22,1,0,20.15,419.9,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,0,72,1,0,92.3,6719.9,"No",0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
1,0,1,1,56,1,1,103.2,5873.75,"No",0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,0,0,18,1,0,56.25,969.85,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,50,0,1,44.45,2188.45,"No",1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,0,1,0,46,1,1,69.1,3168,"No",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0,25,1,1,20.95,495.15,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,5,1,0,20.25,109.8,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,20,1,0,64.4,1398.6,"No",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,7,1,1,81.1,576.65,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,8,1,1,75.75,606.25,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,49,1,1,59.75,2934.3,"Yes",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,25,0,1,38.1,970.4,"No",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0,1,1,0,16,1,1,85.35,1375.15,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,55,1,1,77.8,4323.35,"No",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,46,1,1,101.1,4674.4,"No",0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,68,1,1,117.2,8035.95,"No",0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
0,0,0,1,4,1,1,87.1,341.45,"Yes",0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,2,0,1,30.9,59.05,"Yes",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1,1,28,1,1,90.45,2509.25,"No",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
1,0,0,1,70,1,0,64.95,4551.5,"No",0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,54,1,1,95.1,5064.85,"No",0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,1,0,0,50,1,1,104.95,5222.35,"No",0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,46,1,0,53.1,2459.8,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,33,1,1,61.05,2018.4,"No",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,58,1,1,61.05,3478.75,"No",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,1,1,34,1,1,78.95,2647.2,"No",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,0,5,1,1,75.9,357.75,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,18,1,0,74.8,1438.05,"No",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,56,1,1,59.8,3457.45,"No",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,48,1,1,78.75,3682.45,"No",0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
0,0,0,0,10,1,1,24.5,270.15,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,1,0,0,28,1,0,64.45,1867.6,"No",0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,1,1,19,1,1,48.95,955.6,"No",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,3,1,1,20,61.7,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,1,1,0,72,1,1,25.7,1937.4,"No",0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,65,1,1,111.05,7107,"No",0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,68,1,1,73,5163,"No",0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
1,0,1,0,69,1,1,53.65,3804.4,"No",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,22,1,1,20.05,417,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,1,63,1,0,75.7,4676.7,"No",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,25.85,25.85,"No",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,1,62,1,1,94.95,5791.85,"No",0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,6,1,0,19.7,129.55,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
0,0,1,0,12,0,1,49.85,617.15,"No",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,22,1,0,55.1,1253.15,"No",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,31,0,1,50.05,1523.4,"No",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0
0,1,0,0,72,1,1,108.1,7774.05,"No",0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,1,0,61,1,1,94.35,5703,"No",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,1,1,1,80.85,80.85,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,15,1,1,76,1130.85,"Yes",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,26,1,1,98.65,2537,"No",0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,70,1,1,104,7250.15,"Yes",0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
1,0,1,1,69,0,0,39.1,2779.5,"No",1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,4,1,0,65.55,237.2,"No",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,1,1,71,1,1,66.2,4692.55,"No",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,1,1,0,69.55,69.55,"Yes",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,2,1,1,79.95,174.45,"No",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,1,2,1,0,20.2,34.75,"No",0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,1,27,1,0,56.2,1567.55,"No",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,60,0,0,37.7,2288.7,"No",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,0,0,47,1,1,86.05,3865.6,"No",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,46,1,1,103.15,4594.65,"No",0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0
1,0,1,1,61,1,1,98.45,6145.2,"No",0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
1,0,1,1,68,1,1,101.05,6770.5,"No",0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0
