MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model_year,Origin,Car_Name
23,4,120,97,2506,14.5,2013,3,toyouta corona mark ii (sw)
28,4,98,80,2164,15,2013,1,dodge colt (sw)
27,4,97,88,2100,16.5,2013,3,toyota corolla 1600 (sw)
13,8,350,175,4100,13,2012,1,buick century 350
14,8,304,150,3672,11.5,2012,1,amc matador
13,8,350,145,3988,13,2012,1,chevrolet malibu
14,8,302,137,4042,14.5,2012,1,ford gran torino
15,8,318,150,3777,12.5,2012,1,dodge coronet custom
12,8,429,198,4952,11.5,2012,1,mercury marquis brougham
13,8,400,150,4464,12,2012,1,chevrolet caprice classic
13,8,351,158,4363,13,2012,1,ford ltd
14,8,318,150,4237,14.5,2012,1,plymouth fury gran sedan
13,8,440,215,4735,11,2012,1,chrysler new yorker brougham
12,8,455,225,4951,11,2012,1,buick electra 225 custom
13,8,360,175,3821,11,2012,1,amc ambassador brougham
18,6,225,105,3121,16.5,2012,1,plymouth valiant
16,6,250,100,3278,18,2012,1,chevrolet nova custom
18,6,232,100,2945,16,2012,1,amc hornet
18,6,250,88,3021,16.5,2012,1,ford maverick
23,6,198,95,2904,16,2012,1,plymouth duster
26,4,97,46,1950,21,2012,2,volkswagen super beetle
11,8,400,150,4997,14,2012,1,chevrolet impala
12,8,400,167,4906,12.5,2012,1,ford country
13,8,360,170,4654,13,2012,1,plymouth custom suburb
12,8,350,180,4499,12.5,2012,1,oldsmobile vista cruiser
18,6,232,100,2789,15,2012,1,amc gremlin
20,4,97,88,2279,19,2012,3,toyota carina
21,4,140,72,2401,19.5,2012,1,chevrolet vega
22,4,108,94,2379,16.5,2012,3,datsun 610
18,3,70,90,2124,13.5,2012,3,maxda rx3
19,4,122,85,2310,18.5,2012,1,ford pinto
21,6,155,107,2472,14,2012,1,mercury capri v6
26,4,98,90,2265,15.5,2012,2,fiat 124 sport coupe
15,8,350,145,4082,13,2012,1,chevrolet monte carlo s
16,8,400,230,4278,9.5,2012,1,pontiac grand prix
29,4,68,49,1867,19.5,2012,2,fiat 128
24,4,116,75,2158,15.5,2012,2,opel manta
20,4,114,91,2582,14,2012,2,audi 100ls
19,4,121,112,2868,15.5,2012,2,volvo 144ea
15,8,318,150,3399,11,2012,1,dodge dart custom
24,4,121,110,2660,14,2012,2,saab 99le
20,6,156,122,2807,13.5,2012,3,toyota mark ii
11,8,350,180,3664,11,2012,1,oldsmobile omega
20,6,198,95,3102,16.5,2011,1,plymouth duster
21,6,200,?,2875,17,2011,1,ford maverick
19,6,232,100,2901,16,2011,1,amc hornet
15,6,250,100,3336,17,2011,1,chevrolet nova
31,4,79,67,1950,19,2011,3,datsun b210
26,4,122,80,2451,16.5,2011,1,ford pinto
32,4,71,65,1836,21,2011,3,toyota corolla 1200
25,4,140,75,2542,17,2011,1,chevrolet vega
16,6,250,100,3781,17,2011,1,chevrolet chevelle malibu classic
16,6,258,110,3632,18,2011,1,amc matador
18,6,225,105,3613,16.5,2011,1,plymouth satellite sebring
16,8,302,140,4141,14,2011,1,ford gran torino
13,8,350,150,4699,14.5,2011,1,buick century luxus (sw)
14,8,318,150,4457,13.5,2011,1,dodge coronet custom (sw)
14,8,302,140,4638,16,2011,1,ford gran torino (sw)
14,8,304,150,4257,15.5,2011,1,amc matador (sw)
29,4,98,83,2219,16.5,2011,2,audi fox
26,4,79,67,1963,15.5,2011,2,volkswagen dasher
26,4,97,78,2300,14.5,2011,2,opel manta
31,4,76,52,1649,16.5,2011,3,toyota corona
32,4,83,61,2003,19,2011,3,datsun 710
28,4,90,75,2125,14.5,2011,1,dodge colt
24,4,90,75,2108,15.5,2011,2,fiat 128
26,4,116,75,2246,14,2011,2,fiat 124 tc
24,4,120,97,2489,15,2011,3,honda civic
26,4,108,93,2391,15.5,2011,3,subaru
31,4,79,67,2000,16,2011,2,fiat x1.9
19,6,225,95,3264,16,2010,1,plymouth valiant custom
18,6,250,105,3459,16,2010,1,chevrolet nova
15,6,250,72,3432,21,2010,1,mercury monarch
15,6,250,72,3158,19.5,2010,1,ford maverick
16,8,400,170,4668,11.5,2010,1,pontiac catalina
15,8,350,145,4440,14,2010,1,chevrolet bel air
16,8,318,150,4498,14.5,2010,1,plymouth grand fury
14,8,351,148,4657,13.5,2010,1,ford ltd
17,6,231,110,3907,21,2010,1,buick century
16,6,250,105,3897,18.5,2010,1,chevroelt chevelle malibu
15,6,258,110,3730,19,2010,1,amc matador
18,6,225,95,3785,19,2010,1,plymouth fury
21,6,231,110,3039,15,2010,1,buick skyhawk
20,8,262,110,3221,13.5,2010,1,chevrolet monza 2+2
13,8,302,129,3169,12,2010,1,ford mustang ii
29,4,97,75,2171,16,2010,3,toyota corolla
23,4,140,83,2639,17,2010,1,ford pinto
20,6,232,100,2914,16,2010,1,amc gremlin
23,4,140,78,2592,18.5,2010,1,pontiac astro
24,4,134,96,2702,13.5,2010,3,toyota corona
25,4,90,71,2223,16.5,2010,2,volkswagen dasher
24,4,119,97,2545,17,2010,3,datsun 710
18,6,171,97,2984,14.5,2010,1,ford pinto
29,4,90,70,1937,14,2010,2,volkswagen rabbit
19,6,232,90,3211,17,2010,1,amc pacer
23,4,115,95,2694,15,2010,2,audi 100ls
23,4,120,88,2957,17,2010,2,peugeot 504
22,4,121,98,2945,14.5,2010,2,volvo 244dl
25,4,121,115,2671,13.5,2010,2,saab 99le
33,4,91,53,1795,17.5,2010,3,honda civic cvcc
28,4,107,86,2464,15.5,2009,2,fiat 131
25,4,116,81,2220,16.9,2009,2,opel 1900
25,4,140,92,2572,14.9,2009,1,capri ii
26,4,98,79,2255,17.7,2009,1,dodge colt
27,4,101,83,2202,15.3,2009,2,renault 12tl
17.5,8,305,140,4215,13,2009,1,chevrolet chevelle malibu classic
16,8,318,150,4190,13,2009,1,dodge coronet brougham
15.5,8,304,120,3962,13.9,2009,1,amc matador
14.5,8,351,152,4215,12.8,2009,1,ford gran torino
22,6,225,100,3233,15.4,2009,1,plymouth valiant
22,6,250,105,3353,14.5,2009,1,chevrolet nova
24,6,200,81,3012,17.6,2009,1,ford maverick
22.5,6,232,90,3085,17.6,2009,1,amc hornet
29,4,85,52,2035,22.2,2009,1,chevrolet chevette
24.5,4,98,60,2164,22.1,2009,1,chevrolet woody
29,4,90,70,1937,14.2,2009,2,vw rabbit
33,4,91,53,1795,17.4,2009,3,honda civic
20,6,225,100,3651,17.7,2009,1,dodge aspen se
18,6,250,78,3574,21,2009,1,ford granada ghia
18.5,6,250,110,3645,16.2,2009,1,pontiac ventura sj
17.5,6,258,95,3193,17.8,2009,1,amc pacer d/l
29.5,4,97,71,1825,12.2,2009,2,volkswagen rabbit
32,4,85,70,1990,17,2009,3,datsun b-210
28,4,97,75,2155,16.4,2009,3,toyota corolla
26.5,4,140,72,2565,13.6,2009,1,ford pinto
20,4,130,102,3150,15.7,2009,2,volvo 245
13,8,318,150,3940,13.2,2009,1,plymouth volare premier v8
19,4,120,88,3270,21.9,2009,2,peugeot 504
19,6,156,108,2930,15.5,2009,3,toyota mark ii
16.5,6,168,120,3820,16.7,2009,2,mercedes-benz 280s
16.5,8,350,180,4380,12.1,2009,1,cadillac seville
13,8,350,145,4055,12,2009,1,chevy c10
13,8,302,130,3870,15,2009,1,ford f108
13,8,318,150,3755,14,2009,1,dodge d100
31.5,4,98,68,2045,18.5,2008,3,honda accord cvcc
30,4,111,80,2155,14.8,2008,1,buick opel isuzu deluxe
36,4,79,58,1825,18.6,2008,2,renault 5 gtl
25.5,4,122,96,2300,15.5,2008,1,plymouth arrow gs
33.5,4,85,70,1945,16.8,2008,3,datsun f-10 hatchback
17.5,8,305,145,3880,12.5,2008,1,chevrolet caprice classic
17,8,260,110,4060,19,2008,1,oldsmobile cutlass supreme
15.5,8,318,145,4140,13.7,2008,1,dodge monaco brougham
15,8,302,130,4295,14.9,2008,1,mercury cougar brougham
17.5,6,250,110,3520,16.4,2008,1,chevrolet concours
20.5,6,231,105,3425,16.9,2008,1,buick skylark
19,6,225,100,3630,17.7,2008,1,plymouth volare custom
18.5,6,250,98,3525,19,2008,1,ford granada
16,8,400,180,4220,11.1,2008,1,pontiac grand prix lj
15.5,8,350,170,4165,11.4,2008,1,chevrolet monte carlo landau
15.5,8,400,190,4325,12.2,2008,1,chrysler cordoba
16,8,351,149,4335,14.5,2008,1,ford thunderbird
29,4,97,78,1940,14.5,2008,2,volkswagen rabbit custom
24.5,4,151,88,2740,16,2008,1,pontiac sunbird coupe
26,4,97,75,2265,18.2,2008,3,toyota corolla liftback
25.5,4,140,89,2755,15.8,2008,1,ford mustang ii 2+2
30.5,4,98,63,2051,17,2008,1,chevrolet chevette
33.5,4,98,83,2075,15.9,2008,1,dodge colt m/m
30,4,97,67,1985,16.4,2008,3,subaru dl
30.5,4,97,78,2190,14.1,2008,2,volkswagen dasher
22,6,146,97,2815,14.5,2008,3,datsun 810
21.5,4,121,110,2600,12.8,2008,2,bmw 320i
21.5,3,80,110,2720,13.5,2008,3,mazda rx-4
43.1,4,90,48,1985,21.5,2007,2,volkswagen rabbit custom diesel
36.1,4,98,66,1800,14.4,2007,1,ford fiesta
32.8,4,78,52,1985,19.4,2007,3,mazda glc deluxe
39.4,4,85,70,2070,18.6,2007,3,datsun b210 gx
36.1,4,91,60,1800,16.4,2007,3,honda civic cvcc
19.9,8,260,110,3365,15.5,2007,1,oldsmobile cutlass salon brougham
19.4,8,318,140,3735,13.2,2007,1,dodge diplomat
20.2,8,302,139,3570,12.8,2007,1,mercury monarch ghia
19.2,6,231,105,3535,19.2,2007,1,pontiac phoenix lj
20.5,6,200,95,3155,18.2,2007,1,chevrolet malibu
20.2,6,200,85,2965,15.8,2007,1,ford fairmont (auto)
25.1,4,140,88,2720,15.4,2007,1,ford fairmont (man)
20.5,6,225,100,3430,17.2,2007,1,plymouth volare
19.4,6,232,90,3210,17.2,2007,1,amc concord
20.6,6,231,105,3380,15.8,2007,1,buick century special
20.8,6,200,85,3070,16.7,2007,1,mercury zephyr
18.6,6,225,110,3620,18.7,2007,1,dodge aspen
18.1,6,258,120,3410,15.1,2007,1,amc concord d/l
19.2,8,305,145,3425,13.2,2007,1,chevrolet monte carlo landau
17.7,6,231,165,3445,13.4,2007,1,buick regal sport coupe (turbo)
18.1,8,302,139,3205,11.2,2007,1,ford futura
17.5,8,318,140,4080,13.7,2007,1,dodge magnum xe
30,4,98,68,2155,16.5,2007,1,chevrolet chevette
27.5,4,134,95,2560,14.2,2007,3,toyota corona
27.2,4,119,97,2300,14.7,2007,3,datsun 510
30.9,4,105,75,2230,14.5,2007,1,dodge omni
21.1,4,134,95,2515,14.8,2007,3,toyota celica gt liftback
23.2,4,156,105,2745,16.7,2007,1,plymouth sapporo
23.8,4,151,85,2855,17.6,2007,1,oldsmobile starfire sx
23.9,4,119,97,2405,14.9,2007,3,datsun 200-sx
20.3,5,131,103,2830,15.9,2007,2,audi 5000
17,6,163,125,3140,13.6,2007,2,volvo 264gl
21.6,4,121,115,2795,15.7,2007,2,saab 99gle
16.2,6,163,133,3410,15.8,2007,2,peugeot 604sl
31.5,4,89,71,1990,14.9,2007,2,volkswagen scirocco
29.5,4,98,68,2135,16.6,2007,3,honda accord lx
21.5,6,231,115,3245,15.4,2006,1,pontiac lemans v6
19.8,6,200,85,2990,18.2,2006,1,mercury zephyr 6
22.3,4,140,88,2890,17.3,2006,1,ford fairmont 4
20.2,6,232,90,3265,18.2,2006,1,amc concord dl 6
20.6,6,225,110,3360,16.6,2006,1,dodge aspen 6
17,8,305,130,3840,15.4,2006,1,chevrolet caprice classic
17.6,8,302,129,3725,13.4,2006,1,ford ltd landau
16.5,8,351,138,3955,13.2,2006,1,mercury grand marquis
18.2,8,318,135,3830,15.2,2006,1,dodge st. regis
16.9,8,350,155,4360,14.9,2006,1,buick estate wagon (sw)
15.5,8,351,142,4054,14.3,2006,1,ford country squire (sw)
19.2,8,267,125,3605,15,2006,1,chevrolet malibu classic (sw)
18.5,8,360,150,3940,13,2006,1,chrysler lebaron town @ country (sw)
31.9,4,89,71,1925,14,2006,2,vw rabbit custom
34.1,4,86,65,1975,15.2,2006,3,maxda glc deluxe
35.7,4,98,80,1915,14.4,2006,1,dodge colt hatchback custom
27.4,4,121,80,2670,15,2006,1,amc spirit dl
25.4,5,183,77,3530,20.1,2006,2,mercedes benz 300d
23,8,350,125,3900,17.4,2006,1,cadillac eldorado
27.2,4,141,71,3190,24.8,2006,2,peugeot 504
23.9,8,260,90,3420,22.2,2006,1,oldsmobile cutlass salon brougham
34.2,4,105,70,2200,13.2,2006,1,plymouth horizon
34.5,4,105,70,2150,14.9,2006,1,plymouth horizon tc3
31.8,4,85,65,2020,19.2,2006,3,datsun 210
37.3,4,91,69,2130,14.7,2006,2,fiat strada custom
28.4,4,151,90,2670,16,2006,1,buick skylark limited
28.8,6,173,115,2595,11.3,2006,1,chevrolet citation
26.8,6,173,115,2700,12.9,2006,1,oldsmobile omega brougham
33.5,4,151,90,2556,13.2,2006,1,pontiac phoenix
41.5,4,98,76,2144,14.7,2005,2,vw rabbit
38.1,4,89,60,1968,18.8,2005,3,toyota corolla tercel
32.1,4,98,70,2120,15.5,2005,1,chevrolet chevette
37.2,4,86,65,2019,16.4,2005,3,datsun 310
28,4,151,90,2678,16.5,2005,1,chevrolet citation
26.4,4,140,88,2870,18.1,2005,1,ford fairmont
24.3,4,151,90,3003,20.1,2005,1,amc concord
19.1,6,225,90,3381,18.7,2005,1,dodge aspen
34.3,4,97,78,2188,15.8,2005,2,audi 4000
29.8,4,134,90,2711,15.5,2005,3,toyota corona liftback
31.3,4,120,75,2542,17.5,2005,3,mazda 626
37,4,119,92,2434,15,2005,3,datsun 510 hatchback
32.2,4,108,75,2265,15.2,2005,3,toyota corolla
46.6,4,86,65,2110,17.9,2005,3,mazda glc
27.9,4,156,105,2800,14.4,2005,1,dodge colt
40.8,4,85,65,2110,19.2,2005,3,datsun 210
44.3,4,90,48,2085,21.7,2005,2,vw rabbit c (diesel)
43.4,4,90,48,2335,23.7,2005,2,vw dasher (diesel)
36.4,5,121,67,2950,19.9,2005,2,audi 5000s (diesel)
30,4,146,67,3250,21.8,2005,2,mercedes-benz 240d
44.6,4,91,67,1850,13.8,2005,3,honda civic 1500 gl
40.9,4,85,?,1835,17.3,2005,2,renault lecar deluxe
33.8,4,97,67,2145,18,2005,3,subaru dl
29.8,4,89,62,1845,15.3,2005,2,vokswagen rabbit
32.7,6,168,132,2910,11.4,2005,3,datsun 280-zx
23.7,3,70,100,2420,12.5,2005,3,mazda rx-7 gs
35,4,122,88,2500,15.1,2005,2,triumph tr7 coupe
23.6,4,140,?,2905,14.3,2005,1,ford mustang cobra
32.4,4,107,72,2290,17,2005,3,honda accord
27.2,4,135,84,2490,15.7,2004,1,plymouth reliant
26.6,4,151,84,2635,16.4,2004,1,buick skylark
25.8,4,156,92,2620,14.4,2004,1,dodge aries wagon (sw)
23.5,6,173,110,2725,12.6,2004,1,chevrolet citation
30,4,135,84,2385,12.9,2004,1,plymouth reliant
39.1,4,79,58,1755,16.9,2004,3,toyota starlet
39,4,86,64,1875,16.4,2004,1,plymouth champ
35.1,4,81,60,1760,16.1,2004,3,honda civic 1300
32.3,4,97,67,2065,17.8,2004,3,subaru
37,4,85,65,1975,19.4,2004,3,datsun 210 mpg
37.7,4,89,62,2050,17.3,2004,3,toyota tercel
34.1,4,91,68,1985,16,2004,3,mazda glc 4
34.7,4,105,63,2215,14.9,2004,1,plymouth horizon 4
34.4,4,98,65,2045,16.2,2004,1,ford escort 4w
29.9,4,98,65,2380,20.7,2004,1,ford escort 2h
33,4,105,74,2190,14.2,2004,2,volkswagen jetta
34.5,4,100,?,2320,15.8,2004,2,renault 18i
33.7,4,107,75,2210,14.4,2004,3,honda prelude
32.4,4,108,75,2350,16.8,2004,3,toyota corolla
32.9,4,119,100,2615,14.8,2004,3,datsun 200sx
31.6,4,120,74,2635,18.3,2004,3,mazda 626
28.1,4,141,80,3230,20.4,2004,2,peugeot 505s turbo diesel
30.7,6,145,76,3160,19.6,2004,2,volvo diesel
25.4,6,168,116,2900,12.6,2004,3,toyota cressida
24.2,6,146,120,2930,13.8,2004,3,datsun 810 maxima
22.4,6,231,110,3415,15.8,2004,1,buick century
26.6,8,350,105,3725,19,2004,1,oldsmobile cutlass ls
20.2,6,200,88,3060,17.1,2004,1,ford granada gl
17.6,6,225,85,3465,16.6,2004,1,chrysler lebaron salon
28,4,112,88,2605,19.6,2003,1,chevrolet cavalier
27,4,112,88,2640,18.6,2003,1,chevrolet cavalier wagon
34,4,112,88,2395,18,2003,1,chevrolet cavalier 2-door
31,4,112,85,2575,16.2,2003,1,pontiac j2000 se hatchback
29,4,135,84,2525,16,2003,1,dodge aries se
27,4,151,90,2735,18,2003,1,pontiac phoenix
24,4,140,92,2865,16.4,2003,1,ford fairmont futura
23,4,151,?,3035,20.5,2003,1,amc concord dl
36,4,105,74,1980,15.3,2003,2,volkswagen rabbit l
37,4,91,68,2025,18.2,2003,3,mazda glc custom l
31,4,91,68,1970,17.6,2003,3,mazda glc custom
38,4,105,63,2125,14.7,2003,1,plymouth horizon miser
36,4,98,70,2125,17.3,2003,1,mercury lynx l
36,4,120,88,2160,14.5,2003,3,nissan stanza xe
36,4,107,75,2205,14.5,2003,3,honda accord
34,4,108,70,2245,16.9,2003,3,toyota corolla
38,4,91,67,1965,15,2003,3,honda civic
32,4,91,67,1965,15.7,2003,3,honda civic (auto)
38,4,91,67,1995,16.2,2003,3,datsun 310 gx
25,6,181,110,2945,16.4,2003,1,buick century limited
38,6,262,85,3015,17,2003,1,oldsmobile cutlass ciera (diesel)
26,4,156,92,2585,14.5,2003,1,chrysler lebaron medallion
22,6,232,112,2835,14.7,2003,1,ford granada l
32,4,144,96,2665,13.9,2003,3,toyota celica gt
36,4,135,84,2370,13,2003,1,dodge charger 2.2
27,4,151,90,2950,17.3,2003,1,chevrolet camaro
27,4,140,86,2790,15.6,2003,1,ford mustang gl
44,4,97,52,2130,24.6,2003,2,vw pickup
32,4,135,84,2295,11.6,2003,1,dodge rampage
28,4,120,79,2625,18.6,2003,1,ford ranger
31,4,119,82,2720,19.4,2003,1,chevy s-10
