Request id,Date,Request time,Dropoff time,Pickup point,Driver id,Status
35,11-07-2016,02:16:48,2:51:22 AM,City,107,Trip Completed
36,11-07-2016,02:22:34,NA,City,NA,No Cars Available
37,11-07-2016,02:24:00,NA,Airport,NA,No Cars Available
38,11-07-2016,02:25:26,NA,City,NA,No Cars Available
39,11-07-2016,02:36:58,NA,Airport,NA,No Cars Available
40,11-07-2016,02:36:58,NA,Airport,NA,No Cars Available
41,11-07-2016,02:36:58,3:10:05 AM,City,109,Trip Completed
42,11-07-2016,02:45:36,NA,Airport,NA,No Cars Available
43,11-07-2016,02:54:14,NA,City,NA,No Cars Available
44,11-07-2016,02:55:41,NA,Airport,NA,No Cars Available
45,11-07-2016,03:00:00,3:50:24 AM,Airport,12,Trip Completed
46,11-07-2016,03:01:26,NA,Airport,NA,No Cars Available
47,11-07-2016,03:08:38,4:20:38 AM,City,124,Trip Completed
48,11-07-2016,03:08:38,4:03:22 AM,City,150,Trip Completed
49,11-07-2016,03:12:58,NA,Airport,NA,No Cars Available
50,11-07-2016,03:12:58,3:46:05 AM,City,100,Trip Completed
51,11-07-2016,03:18:43,4:23:31 AM,City,86,Trip Completed
52,11-07-2016,03:20:10,NA,City,NA,No Cars Available
53,11-07-2016,03:21:36,4:10:34 AM,Airport,95,Trip Completed
54,11-07-2016,03:24:29,NA,City,NA,No Cars Available
55,11-07-2016,03:30:14,NA,Airport,NA,No Cars Available
56,11-07-2016,03:41:46,NA,City,NA,No Cars Available
57,11-07-2016,03:41:46,NA,City,NA,No Cars Available
58,11-07-2016,03:44:38,NA,Airport,NA,No Cars Available
59,11-07-2016,03:44:38,NA,City,NA,No Cars Available
60,11-07-2016,03:48:58,4:37:55 AM,City,141,Trip Completed
61,11-07-2016,03:56:10,NA,Airport,NA,No Cars Available
62,11-07-2016,03:59:02,NA,Airport,NA,No Cars Available
63,11-07-2016,04:04:48,NA,Airport,NA,No Cars Available
64,11-07-2016,04:07:41,5:16:48 AM,City,52,Trip Completed
65,11-07-2016,04:09:07,NA,Airport,NA,No Cars Available
66,11-07-2016,04:09:07,4:43:41 AM,City,255,Trip Completed
67,11-07-2016,04:13:26,NA,Airport,NA,No Cars Available
68,11-07-2016,04:13:26,NA,Airport,NA,No Cars Available
69,11-07-2016,04:14:53,NA,Airport,NA,No Cars Available
70,11-07-2016,04:22:05,5:16:48 AM,City,80,Trip Completed
71,11-07-2016,04:23:31,NA,City,NA,No Cars Available
72,11-07-2016,04:24:58,NA,City,NA,No Cars Available
73,11-07-2016,04:24:58,NA,Airport,NA,No Cars Available
74,11-07-2016,04:29:17,5:34:05 AM,Airport,239,Trip Completed
75,11-07-2016,04:30:43,NA,Airport,NA,No Cars Available
76,11-07-2016,04:30:43,NA,City,158,Cancelled
77,11-07-2016,04:32:10,NA,City,171,Cancelled
78,11-07-2016,04:33:36,NA,City,NA,No Cars Available
79,11-07-2016,04:33:36,NA,City,NA,No Cars Available
80,11-07-2016,04:35:02,NA,City,3,Cancelled
81,11-07-2016,04:35:02,5:49:55 AM,Airport,73,Trip Completed
82,11-07-2016,04:35:02,5:15:22 AM,Airport,290,Trip Completed
83,11-07-2016,04:36:29,NA,City,NA,No Cars Available
84,11-07-2016,04:36:29,5:16:48 AM,City,28,Trip Completed
85,11-07-2016,04:36:29,NA,City,144,Cancelled
86,11-07-2016,04:36:29,NA,City,174,Cancelled
87,11-07-2016,04:36:29,5:13:55 AM,City,213,Trip Completed
88,11-07-2016,04:37:55,5:52:48 AM,Airport,76,Trip Completed
89,11-07-2016,04:37:55,5:36:58 AM,City,280,Trip Completed
90,11-07-2016,04:39:22,5:25:26 AM,Airport,126,Trip Completed
91,11-07-2016,04:39:22,5:28:19 AM,Airport,234,Trip Completed
92,11-07-2016,04:40:48,NA,City,16,Cancelled
93,11-07-2016,04:40:48,5:18:14 AM,City,69,Trip Completed
94,11-07-2016,04:42:14,5:49:55 AM,City,265,Trip Completed
95,11-07-2016,04:42:14,5:51:22 AM,Airport,270,Trip Completed
96,11-07-2016,04:43:41,NA,City,21,Cancelled
97,11-07-2016,04:45:07,5:31:12 AM,City,138,Trip Completed
98,11-07-2016,04:46:34,NA,City,205,Cancelled
99,11-07-2016,04:48:00,NA,City,70,Cancelled
100,11-07-2016,04:48:00,5:38:24 AM,City,256,Trip Completed
101,11-07-2016,04:50:53,6:01:26 AM,Airport,99,Trip Completed
102,11-07-2016,04:50:53,5:28:19 AM,Airport,100,Trip Completed
103,11-07-2016,04:52:19,NA,City,NA,No Cars Available
104,11-07-2016,04:52:19,NA,City,NA,No Cars Available
105,11-07-2016,04:52:19,NA,City,182,Cancelled
106,11-07-2016,04:52:19,5:24:00 AM,City,194,Trip Completed
107,11-07-2016,04:52:19,NA,City,215,Cancelled
108,11-07-2016,04:52:19,NA,City,248,Cancelled
109,11-07-2016,04:52:19,NA,City,284,Cancelled
110,11-07-2016,04:53:46,5:52:48 AM,City,22,Trip Completed
111,11-07-2016,04:53:46,NA,City,62,Cancelled
112,11-07-2016,04:55:12,5:47:02 AM,Airport,116,Trip Completed
113,11-07-2016,04:55:12,NA,City,185,Cancelled
114,11-07-2016,04:55:12,5:29:46 AM,City,217,Trip Completed
115,11-07-2016,04:55:12,NA,City,244,Cancelled
116,11-07-2016,04:56:38,5:42:43 AM,Airport,286,Trip Completed
117,11-07-2016,04:58:05,NA,City,NA,No Cars Available
118,11-07-2016,04:58:05,5:39:50 AM,Airport,44,Trip Completed
119,11-07-2016,04:58:05,NA,City,204,Cancelled
120,11-07-2016,04:58:05,NA,City,268,Cancelled
121,11-07-2016,04:59:31,5:57:07 AM,Airport,63,Trip Completed
122,11-07-2016,04:59:31,NA,City,124,Cancelled
123,11-07-2016,04:59:31,5:58:34 AM,City,130,Trip Completed
124,11-07-2016,05:00:58,NA,City,NA,No Cars Available
125,11-07-2016,05:00:58,6:04:19 AM,City,38,Trip Completed
126,11-07-2016,05:00:58,NA,City,40,Cancelled
127,11-07-2016,05:00:58,NA,City,173,Cancelled
128,11-07-2016,05:02:24,5:38:24 AM,City,43,Trip Completed
129,11-07-2016,05:02:24,NA,City,189,Cancelled
130,11-07-2016,05:02:24,NA,City,206,Cancelled
131,11-07-2016,05:03:50,NA,City,NA,No Cars Available
132,11-07-2016,05:03:50,NA,City,21,Cancelled
133,11-07-2016,05:03:50,NA,City,247,Cancelled
134,11-07-2016,05:05:17,6:01:26 AM,Airport,121,Trip Completed
135,11-07-2016,05:08:10,NA,City,NA,No Cars Available
136,11-07-2016,05:09:36,NA,City,NA,No Cars Available
137,11-07-2016,05:09:36,NA,City,NA,No Cars Available
138,11-07-2016,05:09:36,NA,City,NA,No Cars Available
139,11-07-2016,05:11:02,5:54:14 AM,Airport,14,Trip Completed
140,11-07-2016,05:11:02,NA,City,279,Cancelled
141,11-07-2016,05:12:29,NA,City,49,Cancelled
142,11-07-2016,05:12:29,6:12:58 AM,City,134,Trip Completed
143,11-07-2016,05:12:29,5:48:29 AM,Airport,157,Trip Completed
144,11-07-2016,05:12:29,NA,City,291,Cancelled
145,11-07-2016,05:16:48,6:28:48 AM,City,33,Trip Completed
146,11-07-2016,05:16:48,5:57:07 AM,Airport,191,Trip Completed
147,11-07-2016,05:16:48,NA,City,267,Cancelled
148,11-07-2016,05:18:14,6:33:07 AM,Airport,105,Trip Completed
149,11-07-2016,05:18:14,NA,City,111,Cancelled
150,11-07-2016,05:19:41,NA,City,9,Cancelled
151,11-07-2016,05:19:41,NA,City,290,Cancelled
152,11-07-2016,05:19:41,6:04:19 AM,City,294,Trip Completed
153,11-07-2016,05:21:07,NA,City,NA,No Cars Available
154,11-07-2016,05:22:34,NA,City,NA,No Cars Available
155,11-07-2016,05:22:34,6:15:50 AM,City,13,Trip Completed
156,11-07-2016,05:22:34,6:30:14 AM,Airport,96,Trip Completed
157,11-07-2016,05:22:34,NA,City,226,Cancelled
158,11-07-2016,05:22:34,6:27:22 AM,City,289,Trip Completed
159,11-07-2016,05:24:00,NA,City,NA,No Cars Available
160,11-07-2016,05:24:00,6:25:55 AM,Airport,72,Trip Completed
161,11-07-2016,05:24:00,6:00:00 AM,Airport,107,Trip Completed
162,11-07-2016,05:25:26,NA,City,70,Cancelled
163,11-07-2016,05:25:26,6:34:34 AM,City,161,Trip Completed
164,11-07-2016,05:26:53,NA,City,137,Cancelled
165,11-07-2016,05:26:53,5:58:34 AM,Airport,199,Trip Completed
166,11-07-2016,05:26:53,NA,City,269,Cancelled
167,11-07-2016,05:28:19,NA,City,NA,No Cars Available
168,11-07-2016,05:28:19,NA,City,62,Cancelled
169,11-07-2016,05:28:19,6:30:14 AM,City,184,Trip Completed
170,11-07-2016,05:29:46,6:27:22 AM,City,113,Trip Completed
171,11-07-2016,05:31:12,NA,City,NA,No Cars Available
172,11-07-2016,05:31:12,6:11:31 AM,Airport,59,Trip Completed
173,11-07-2016,05:31:12,6:17:17 AM,City,188,Trip Completed
174,11-07-2016,05:32:38,NA,Airport,119,Cancelled
175,11-07-2016,05:32:38,NA,City,160,Cancelled
176,11-07-2016,05:34:05,NA,City,67,Cancelled
177,11-07-2016,05:34:05,NA,City,169,Cancelled
178,11-07-2016,05:35:31,NA,City,NA,No Cars Available
179,11-07-2016,05:35:31,NA,City,NA,No Cars Available
180,11-07-2016,05:35:31,6:15:50 AM,Airport,112,Trip Completed
181,11-07-2016,05:35:31,NA,City,159,Cancelled
182,11-07-2016,05:35:31,6:44:38 AM,Airport,225,Trip Completed
183,11-07-2016,05:35:31,6:14:24 AM,City,252,Trip Completed
184,11-07-2016,05:35:31,NA,City,292,Cancelled
185,11-07-2016,05:38:24,NA,City,236,Cancelled
186,11-07-2016,05:38:24,NA,City,288,Cancelled
187,11-07-2016,05:39:50,NA,City,62,Cancelled
188,11-07-2016,05:39:50,NA,City,114,Cancelled
189,11-07-2016,05:41:17,NA,City,NA,No Cars Available
190,11-07-2016,05:42:43,NA,City,NA,No Cars Available
191,11-07-2016,05:44:10,6:34:34 AM,Airport,37,Trip Completed
192,11-07-2016,05:44:10,NA,City,202,Cancelled
193,11-07-2016,05:45:36,NA,City,213,Cancelled
194,11-07-2016,05:49:55,NA,City,NA,No Cars Available
195,11-07-2016,05:49:55,6:41:46 AM,City,297,Trip Completed
196,11-07-2016,05:51:22,NA,Airport,24,Cancelled
197,11-07-2016,05:51:22,6:37:26 AM,City,202,Trip Completed
198,11-07-2016,05:52:48,6:33:07 AM,Airport,249,Trip Completed
199,11-07-2016,05:54:14,NA,City,NA,No Cars Available
200,11-07-2016,05:54:14,NA,City,36,Cancelled
201,11-07-2016,05:54:14,7:03:22 AM,City,76,Trip Completed
202,11-07-2016,05:54:14,NA,City,94,Cancelled
203,11-07-2016,05:55:41,NA,City,NA,No Cars Available
204,11-07-2016,05:55:41,6:36:00 AM,City,27,Trip Completed
205,11-07-2016,05:55:41,7:01:55 AM,Airport,230,Trip Completed
206,11-07-2016,05:55:41,6:25:55 AM,City,232,Trip Completed
207,11-07-2016,05:57:07,NA,City,NA,No Cars Available
208,11-07-2016,05:57:07,NA,Airport,NA,No Cars Available
209,11-07-2016,05:58:34,NA,City,50,Cancelled
210,11-07-2016,05:58:34,NA,City,79,Cancelled
211,11-07-2016,05:58:34,6:38:53 AM,City,100,Trip Completed
212,11-07-2016,05:58:34,NA,City,106,Cancelled
213,11-07-2016,05:58:34,6:44:38 AM,City,116,Trip Completed
214,11-07-2016,05:58:34,6:47:31 AM,City,215,Trip Completed
215,11-07-2016,06:00:00,6:56:10 AM,City,14,Trip Completed
216,11-07-2016,06:00:00,NA,City,54,Cancelled
217,11-07-2016,06:00:00,NA,City,183,Cancelled
218,11-07-2016,06:01:26,NA,City,30,Cancelled
219,11-07-2016,06:01:26,NA,City,283,Cancelled
220,11-07-2016,06:02:53,6:43:12 AM,Airport,203,Trip Completed
221,11-07-2016,06:04:19,NA,City,NA,No Cars Available
222,11-07-2016,06:04:19,7:01:55 AM,Airport,247,Trip Completed
223,11-07-2016,06:05:46,6:54:43 AM,Airport,160,Trip Completed
224,11-07-2016,06:05:46,NA,City,191,Cancelled
225,11-07-2016,06:05:46,7:16:19 AM,City,245,Trip Completed
226,11-07-2016,06:07:12,NA,City,NA,No Cars Available
227,11-07-2016,06:07:12,NA,Airport,151,Cancelled
228,11-07-2016,06:10:05,NA,City,NA,No Cars Available
229,11-07-2016,06:11:31,NA,City,131,Cancelled
230,11-07-2016,06:12:58,NA,City,NA,No Cars Available
231,11-07-2016,06:12:58,NA,City,NA,No Cars Available
232,11-07-2016,06:12:58,NA,City,22,Cancelled
233,11-07-2016,06:14:24,NA,City,9,Cancelled
234,11-07-2016,06:14:24,7:07:41 AM,City,54,Trip Completed
235,11-07-2016,06:14:24,NA,City,61,Cancelled
236,11-07-2016,06:15:50,NA,City,24,Cancelled
237,11-07-2016,06:15:50,NA,City,56,Cancelled
238,11-07-2016,06:17:17,6:57:36 AM,City,42,Trip Completed
239,11-07-2016,06:17:17,NA,City,98,Cancelled
240,11-07-2016,06:17:17,NA,City,168,Cancelled
241,11-07-2016,06:18:43,7:06:14 AM,City,108,Trip Completed
242,11-07-2016,06:20:10,7:10:34 AM,Airport,139,Trip Completed
243,11-07-2016,06:20:10,6:59:02 AM,City,144,Trip Completed
244,11-07-2016,06:20:10,NA,City,211,Cancelled
245,11-07-2016,06:21:36,NA,City,69,Cancelled
246,11-07-2016,06:21:36,6:57:36 AM,Airport,87,Trip Completed
247,11-07-2016,06:23:02,NA,City,7,Cancelled
248,11-07-2016,06:23:02,7:32:10 AM,City,166,Trip Completed
249,11-07-2016,06:24:29,7:04:48 AM,City,39,Trip Completed
250,11-07-2016,06:24:29,7:26:24 AM,Airport,66,Trip Completed
251,11-07-2016,06:24:29,6:56:10 AM,Airport,268,Trip Completed
252,11-07-2016,06:25:55,NA,City,107,Cancelled
253,11-07-2016,06:27:22,NA,City,130,Cancelled
254,11-07-2016,06:28:48,NA,City,NA,No Cars Available
255,11-07-2016,06:28:48,NA,City,NA,No Cars Available
256,11-07-2016,06:30:14,7:30:43 AM,Airport,80,Trip Completed
257,11-07-2016,06:30:14,7:42:14 AM,Airport,89,Trip Completed
258,11-07-2016,06:30:14,7:06:14 AM,Airport,273,Trip Completed
259,11-07-2016,06:31:41,NA,City,NA,No Cars Available
260,11-07-2016,06:31:41,7:46:34 AM,City,118,Trip Completed
261,11-07-2016,06:31:41,NA,City,165,Cancelled
262,11-07-2016,06:31:41,NA,City,220,Cancelled
263,11-07-2016,06:33:07,NA,City,NA,No Cars Available
264,11-07-2016,06:33:07,7:29:17 AM,City,12,Trip Completed
265,11-07-2016,06:33:07,NA,City,193,Cancelled
266,11-07-2016,06:34:34,NA,City,NA,No Cars Available
267,11-07-2016,06:34:34,7:12:00 AM,City,2,Trip Completed
268,11-07-2016,06:34:34,NA,City,206,Cancelled
269,11-07-2016,06:36:00,7:26:24 AM,City,81,Trip Completed
270,11-07-2016,06:40:19,7:35:02 AM,City,124,Trip Completed
271,11-07-2016,06:40:19,7:14:53 AM,Airport,243,Trip Completed
272,11-07-2016,06:41:46,NA,City,NA,No Cars Available
273,11-07-2016,06:41:46,7:42:14 AM,Airport,261,Trip Completed
274,11-07-2016,06:43:12,NA,City,NA,No Cars Available
275,11-07-2016,06:43:12,NA,City,22,Cancelled
276,11-07-2016,06:43:12,NA,City,27,Cancelled
277,11-07-2016,06:43:12,NA,City,198,Cancelled
278,11-07-2016,06:44:38,NA,City,50,Cancelled
279,11-07-2016,06:44:38,7:33:36 AM,Airport,109,Trip Completed
280,11-07-2016,06:46:05,7:29:17 AM,Airport,219,Trip Completed
281,11-07-2016,06:47:31,7:49:26 AM,City,131,Trip Completed
282,11-07-2016,06:47:31,7:55:12 AM,City,141,Trip Completed
283,11-07-2016,06:47:31,7:22:05 AM,Airport,196,Trip Completed
284,11-07-2016,06:47:31,NA,City,298,Cancelled
285,11-07-2016,06:48:58,7:24:58 AM,City,74,Trip Completed
286,11-07-2016,06:48:58,7:46:34 AM,City,82,Trip Completed
287,11-07-2016,06:54:43,NA,City,NA,No Cars Available
288,11-07-2016,06:56:10,NA,City,NA,No Cars Available
289,11-07-2016,06:57:36,NA,City,44,Cancelled
290,11-07-2016,06:57:36,NA,City,195,Cancelled
291,11-07-2016,06:59:02,NA,City,224,Cancelled
292,11-07-2016,06:59:02,7:39:22 AM,City,231,Trip Completed
293,11-07-2016,07:00:29,NA,City,176,Cancelled
294,11-07-2016,07:00:29,NA,City,278,Cancelled
295,11-07-2016,07:00:29,NA,Airport,297,Cancelled
296,11-07-2016,07:01:55,7:39:22 AM,Airport,144,Trip Completed
297,11-07-2016,07:01:55,7:32:10 AM,Airport,206,Trip Completed
298,11-07-2016,07:01:55,NA,City,238,Cancelled
299,11-07-2016,07:03:22,NA,City,284,Cancelled
300,11-07-2016,07:04:48,NA,City,NA,No Cars Available
301,11-07-2016,07:04:48,8:00:58 AM,City,233,Trip Completed
302,11-07-2016,07:06:14,NA,City,209,Cancelled
303,11-07-2016,07:06:14,7:42:14 AM,Airport,276,Trip Completed
304,11-07-2016,07:07:41,7:39:22 AM,City,221,Trip Completed
305,11-07-2016,07:07:41,NA,City,272,Cancelled
306,11-07-2016,07:09:07,NA,City,15,Cancelled
307,11-07-2016,07:09:07,NA,City,70,Cancelled
308,11-07-2016,07:09:07,NA,City,105,Cancelled
309,11-07-2016,07:09:07,NA,City,240,Cancelled
310,11-07-2016,07:12:00,8:19:41 AM,Airport,13,Trip Completed
311,11-07-2016,07:12:00,7:52:19 AM,Airport,149,Trip Completed
312,11-07-2016,07:14:53,8:15:22 AM,City,5,Trip Completed
313,11-07-2016,07:14:53,8:22:34 AM,City,53,Trip Completed
314,11-07-2016,07:14:53,8:08:10 AM,Airport,275,Trip Completed
315,11-07-2016,07:16:19,NA,City,278,Cancelled
316,11-07-2016,07:16:19,NA,City,290,Cancelled
317,11-07-2016,07:19:12,NA,City,145,Cancelled
318,11-07-2016,07:19:12,8:28:19 AM,City,146,Trip Completed
319,11-07-2016,07:19:12,NA,City,161,Cancelled
320,11-07-2016,07:19:12,8:32:38 AM,City,187,Trip Completed
321,11-07-2016,07:20:38,NA,City,119,Cancelled
322,11-07-2016,07:22:05,7:55:12 AM,City,26,Trip Completed
323,11-07-2016,07:22:05,NA,City,57,Cancelled
324,11-07-2016,07:22:05,NA,City,85,Cancelled
325,11-07-2016,07:22:05,8:32:38 AM,City,182,Trip Completed
326,11-07-2016,07:23:31,NA,City,110,Cancelled
327,11-07-2016,07:23:31,NA,City,240,Cancelled
328,11-07-2016,07:24:58,NA,City,59,Cancelled
329,11-07-2016,07:27:50,8:38:24 AM,Airport,254,Trip Completed
330,11-07-2016,07:29:17,8:41:17 AM,Airport,223,Trip Completed
331,11-07-2016,07:30:43,NA,City,NA,No Cars Available
332,11-07-2016,07:30:43,NA,City,259,Cancelled
333,11-07-2016,07:32:10,8:36:58 AM,City,37,Trip Completed
334,11-07-2016,07:32:10,NA,City,103,Cancelled
335,11-07-2016,07:32:10,8:18:14 AM,City,197,Trip Completed
336,11-07-2016,07:33:36,8:34:05 AM,Airport,81,Trip Completed
337,11-07-2016,07:35:02,NA,City,NA,No Cars Available
338,11-07-2016,07:35:02,8:47:02 AM,City,248,Trip Completed
339,11-07-2016,07:36:29,8:31:12 AM,Airport,44,Trip Completed
340,11-07-2016,07:36:29,NA,City,289,Cancelled
341,11-07-2016,07:37:55,NA,City,94,Cancelled
342,11-07-2016,07:39:22,NA,City,NA,No Cars Available
343,11-07-2016,07:39:22,8:42:43 AM,City,129,Trip Completed
344,11-07-2016,07:40:48,NA,City,NA,No Cars Available
345,11-07-2016,07:40:48,NA,City,164,Cancelled
346,11-07-2016,07:40:48,NA,City,273,Cancelled
347,11-07-2016,07:40:48,NA,City,284,Cancelled
348,11-07-2016,07:42:14,NA,City,NA,No Cars Available
349,11-07-2016,07:43:41,NA,City,NA,No Cars Available
350,11-07-2016,07:43:41,8:31:12 AM,City,96,Trip Completed
351,11-07-2016,07:45:07,8:45:36 AM,City,99,Trip Completed
352,11-07-2016,07:46:34,NA,City,20,Cancelled
353,11-07-2016,07:46:34,NA,City,72,Cancelled
354,11-07-2016,07:46:34,NA,City,116,Cancelled
355,11-07-2016,07:46:34,NA,City,176,Cancelled
356,11-07-2016,07:48:00,NA,City,NA,No Cars Available
357,11-07-2016,07:48:00,9:00:00 AM,Airport,24,Trip Completed
358,11-07-2016,07:48:00,NA,City,153,Cancelled
359,11-07-2016,07:49:26,NA,City,NA,No Cars Available
360,11-07-2016,07:49:26,8:58:34 AM,Airport,35,Trip Completed
361,11-07-2016,07:49:26,8:41:17 AM,City,262,Trip Completed
362,11-07-2016,07:50:53,9:04:19 AM,City,22,Trip Completed
363,11-07-2016,07:50:53,NA,City,249,Cancelled
364,11-07-2016,07:52:19,NA,City,NA,No Cars Available
365,11-07-2016,07:52:19,NA,City,NA,No Cars Available
366,11-07-2016,07:52:19,NA,City,158,Cancelled
367,11-07-2016,07:53:46,NA,City,NA,No Cars Available
368,11-07-2016,07:53:46,NA,City,111,Cancelled
369,11-07-2016,07:55:12,NA,City,NA,No Cars Available
370,11-07-2016,07:56:38,8:26:53 AM,City,73,Trip Completed
371,11-07-2016,07:56:38,NA,City,158,Cancelled
372,11-07-2016,07:58:05,NA,City,NA,No Cars Available
373,11-07-2016,07:58:05,9:02:53 AM,Airport,102,Trip Completed
374,11-07-2016,07:58:05,8:45:36 AM,Airport,264,Trip Completed
375,11-07-2016,07:58:05,9:10:05 AM,Airport,279,Trip Completed
376,11-07-2016,07:59:31,8:39:50 AM,City,77,Trip Completed
377,11-07-2016,08:00:58,NA,City,47,Cancelled
378,11-07-2016,08:00:58,NA,City,186,Cancelled
379,11-07-2016,08:03:50,NA,City,130,Cancelled
380,11-07-2016,08:05:17,9:07:12 AM,Airport,8,Trip Completed
381,11-07-2016,08:05:17,NA,City,108,Cancelled
382,11-07-2016,08:05:17,9:01:26 AM,City,253,Trip Completed
383,11-07-2016,08:06:43,NA,City,200,Cancelled
384,11-07-2016,08:06:43,8:39:50 AM,Airport,231,Trip Completed
385,11-07-2016,08:08:10,NA,City,NA,No Cars Available
386,11-07-2016,08:08:10,NA,City,68,Cancelled
387,11-07-2016,08:08:10,8:55:41 AM,Airport,228,Trip Completed
388,11-07-2016,08:11:02,NA,City,NA,No Cars Available
389,11-07-2016,08:11:02,9:04:19 AM,City,266,Trip Completed
390,11-07-2016,08:12:29,NA,City,NA,No Cars Available
391,11-07-2016,08:12:29,NA,City,107,Cancelled
392,11-07-2016,08:12:29,8:55:41 AM,Airport,193,Trip Completed
393,11-07-2016,08:12:29,NA,City,212,Cancelled
394,11-07-2016,08:12:29,8:44:10 AM,Airport,260,Trip Completed
395,11-07-2016,08:12:29,NA,City,276,Cancelled
396,11-07-2016,08:13:55,NA,City,NA,No Cars Available
397,11-07-2016,08:13:55,NA,City,72,Cancelled
398,11-07-2016,08:13:55,9:20:10 AM,City,159,Trip Completed
399,11-07-2016,08:13:55,NA,City,232,Cancelled
400,11-07-2016,08:16:48,NA,City,32,Cancelled
401,11-07-2016,08:16:48,NA,City,43,Cancelled
402,11-07-2016,08:18:14,8:58:34 AM,Airport,69,Trip Completed
403,11-07-2016,08:19:41,NA,City,79,Cancelled
404,11-07-2016,08:21:07,NA,City,120,Cancelled
405,11-07-2016,08:21:07,9:21:36 AM,City,132,Trip Completed
406,11-07-2016,08:21:07,9:23:02 AM,Airport,201,Trip Completed
407,11-07-2016,08:21:07,NA,City,294,Cancelled
408,11-07-2016,08:22:34,NA,City,NA,No Cars Available
409,11-07-2016,08:22:34,NA,City,216,Cancelled
410,11-07-2016,08:22:34,9:14:24 AM,City,274,Trip Completed
411,11-07-2016,08:24:00,NA,City,53,Cancelled
412,11-07-2016,08:24:00,NA,City,107,Cancelled
413,11-07-2016,08:25:26,NA,City,NA,No Cars Available
414,11-07-2016,08:25:26,NA,City,242,Cancelled
415,11-07-2016,08:25:26,NA,Airport,251,Cancelled
416,11-07-2016,08:26:53,NA,City,NA,No Cars Available
417,11-07-2016,08:26:53,NA,City,271,Cancelled
418,11-07-2016,08:28:19,9:05:46 AM,City,62,Trip Completed
419,11-07-2016,08:28:19,NA,City,212,Cancelled
420,11-07-2016,08:28:19,9:14:24 AM,City,284,Trip Completed
421,11-07-2016,08:29:46,NA,City,57,Cancelled
422,11-07-2016,08:29:46,9:44:38 AM,City,84,Trip Completed
423,11-07-2016,08:29:46,9:11:31 AM,City,215,Trip Completed
424,11-07-2016,08:32:38,NA,City,46,Cancelled
425,11-07-2016,08:32:38,9:18:43 AM,Airport,54,Trip Completed
426,11-07-2016,08:32:38,9:43:12 AM,City,174,Trip Completed
427,11-07-2016,08:36:58,NA,City,104,Cancelled
428,11-07-2016,08:38:24,NA,City,88,Cancelled
429,11-07-2016,08:41:17,9:34:34 AM,City,148,Trip Completed
430,11-07-2016,08:42:43,9:41:46 AM,City,134,Trip Completed
431,11-07-2016,08:42:43,NA,City,246,Cancelled
432,11-07-2016,08:44:10,NA,City,89,Cancelled
433,11-07-2016,08:44:10,NA,City,177,Cancelled
434,11-07-2016,08:45:36,NA,City,NA,No Cars Available
435,11-07-2016,08:45:36,NA,City,NA,No Cars Available
436,11-07-2016,08:45:36,NA,City,40,Cancelled
437,11-07-2016,08:45:36,NA,City,123,Cancelled
438,11-07-2016,08:49:55,10:01:55 AM,City,156,Trip Completed
439,11-07-2016,08:49:55,NA,City,161,Cancelled
